VoxCeleb_ID,video_id,gender,nationality_wiki,age
id10008,r4IZRsEGDFs,female,The-United-States-of-America,32
id10013,fYVXJaLX4dA,female,The-United-States-of-America,31
id10014,32rU5csGG3U,female,The-United-States-of-America,30
id10026,dQhROKhai8Y,female,The-United-States-of-America,45
id10032,YcV8RVlma98,female,The-United-States-of-America,27
id10035,BxAk4aS5uUM,female,The-United-States-of-America,62
id10038,7Gd4Fz2UNxQ,female,The-United-States-of-America,41
id10040,nmEj7IkWbD4,female,The-United-States-of-America,25
id10041,9THGEtI-rv8,female,The-United-States-of-America,29
id10043,lqPc-bhMaCs,female,The-United-States-of-America,9
id10044,znus6PIiKqA,female,The-United-States-of-America,31
id10046,sBae-iHV-ps,female,The-United-States-of-America,44
id10047,9T6zJ8nmjHI,female,The-United-States-of-America,35
id10048,CvGFrHmVDeA,female,The-United-States-of-America,47
id10060,u7KTRzyv_yE,female,The-United-States-of-America,42
id10061,FiS_89JghYQ,female,The-United-States-of-America,31
id10072,M5lYNe7y2QY,female,The-United-States-of-America,24
id10074,K2QHfrmf56k,female,The-United-States-of-America,44
id10075,LMl5EyjpQgc,female,The-United-States-of-America,29
id10078,vWHa4EanOB4,female,The-United-States-of-America,81
id10079,J9WK4j7mZCA,female,The-United-States-of-America,64
id10081,1M4q6CQM5pA,female,The-United-States-of-America,46
id10086,Hd3T8LwTYMk,female,The-United-States-of-America,62
id10088,cuiG8oXZGJg,female,The-United-States-of-America,88
id10109,iDxM7uzjVrI,female,The-United-States-of-America,43
id10110,OlCug8S1nrU,female,The-United-States-of-America,27
id10111,3FIiSPMPF1Y,female,The-United-States-of-America,34
id10112,NzsjhG3xKCI,female,The-United-States-of-America,37
id10117,Rkq0LOe94GY,female,The-United-States-of-America,60
id10119,3q4rl2iu8yY,female,The-United-States-of-America,27
id10123,QeRAaXF37a8,female,The-United-States-of-America,36
id10124,5W5ODrDdRns,female,The-United-States-of-America,22
id10125,K0ZFbs3I5Ro,female,The-United-States-of-America,20
id10127,HaA9mTYzZgs,female,The-United-States-of-America,53
id10128,Shkr1X56lqA,female,The-United-States-of-America,48
id10129,6a6VS3IjMC4,female,The-United-States-of-America,54
id10130,u1bfDNe07tM,female,The-United-States-of-America,28
id10132,wzoXu2iwk4E,female,The-United-States-of-America,34
id10133,DPBVfp0e1mI,female,The-United-States-of-America,64
id10136,5V5-S_yF8kI,female,The-United-States-of-America,56
id10147,Q3zL1cvyMfo,female,The-United-States-of-America,25
id10148,St7LYcFgis8,female,The-United-States-of-America,62
id10149,Ak3V7FwSK-M,female,The-United-States-of-America,58
id10152,SPJadCy6Irs,female,The-United-States-of-America,25
id10161,6cRnyUtIbJw,female,The-United-States-of-America,36
id10162,Wvsd1vi7rJw,female,The-United-States-of-America,33
id10164,6eMViDDEk5c,female,The-United-States-of-America,20
id10167,TQpK-Q7YPD8,female,The-United-States-of-America,68
id10179,ZOFJhtebvuU,female,The-United-States-of-America,29
id10180,CakY8oeWcE0,female,The-United-States-of-America,55
id10181,HZtA-rr4tLI,female,The-United-States-of-America,18
id10188,DJk_5DLXnxQ,female,The-United-States-of-America,59
id10190,4LQvs_IAvRY,female,The-United-States-of-America,35
id10196,sXapU-vWaNE,female,The-United-States-of-America,27
id10226,_UsN5Sbb0e0,female,The-United-States-of-America,74
id10228,v6A5T2Q7FYk,female,The-United-States-of-America,52
id10230,WxmrMgdkqOw,female,The-United-States-of-America,48
id10231,Cfz6KgPti3Y,female,The-United-States-of-America,85
id10239,vjh4tv5CleM,female,The-United-States-of-America,33
id10240,ELAZSAexofg,female,The-United-States-of-America,60
id10252,tn7Roknj3EI,female,The-United-States-of-America,56
id10255,bXpavyiCu10,female,The-United-States-of-America,47
id10259,Yz60HIfALyw,female,The-United-States-of-America,19
id10263,uYF_CfoIdLs,female,The-United-States-of-America,26
id10281,RDFdX3VxjUQ,female,The-United-States-of-America,45
id10285,FUqAFZmZJ80,female,The-United-States-of-America,33
id10286,9K2YB1d8BqY,female,The-United-States-of-America,16
id10307,120gjdqGWNQ,female,The-United-States-of-America,41
id10311,2iZQFpRit3E,female,The-United-States-of-America,23
id10313,fe7Ln62O9GU,female,The-United-States-of-America,30
id10315,dV8Q5-tEB6A,female,The-United-States-of-America,37
id10318,hqXyZ37UvW8,female,The-United-States-of-America,76
id10320,S6Gd6tDl_Dw,female,The-United-States-of-America,23
id10330,CbF8AurFLR8,female,The-United-States-of-America,45
id10335,5OLzRQHT290,female,The-United-States-of-America,31
id10336,OB_gxVfXblo,female,The-United-States-of-America,30
id10338,7rfw6JLzKU0,female,The-United-States-of-America,35
id10342,I815dVpOdms,female,The-United-States-of-America,64
id10343,Wy8sFgdylRc,female,The-United-States-of-America,81
id10352,m0pirbsgB-c,female,The-United-States-of-America,29
id10357,t4ivCDhpcvw,female,The-United-States-of-America,15
id10366,XRPEneYCXSg,female,The-United-States-of-America,28
id10367,qivtXRptDvU,female,The-United-States-of-America,60
id10369,IbD6hZ2CI3E,female,The-United-States-of-America,30
id10374,Dou-0d6tgqM,female,The-United-States-of-America,42
