VoxCeleb_ID,video_id,gender,nationality_wiki,age
id10006,0otHlFztX8I,female,Australia,29.0
id10007,CzQPAaPrC-E,female,The-United-States-of-America,19.0
id10008,r4IZRsEGDFs,female,The-United-States-of-America,32.0
id10013,fYVXJaLX4dA,female,The-United-States-of-America,31.0
id10014,32rU5csGG3U,female,The-United-States-of-America,30.0
id10015,1uUxa00zKXE,female,The-United-Kingdom-1,32.0
id10024,PdW6sXPmSFM,female,Italy,36.0
id10026,dQhROKhai8Y,female,The-United-States-of-America,45.0
id10027,ccbXWh4og34,female,The-United-Kingdom-1,48.0
id10030,1YDEn65O4io,female,France,33.0
id10032,YcV8RVlma98,female,The-United-States-of-America,27.0
id10033,FGXThGae6kQ,female,The-United-Kingdom-1,26.0
id10034,ZLHjGWAWy20,female,Canada,23.0
id10035,BxAk4aS5uUM,female,The-United-States-of-America,62.0
id10036,x4d2Y7WcuHY,female,The-United-Kingdom-1,29.0
id10037,qqLxW_0DSc8,female,Poland,33.0
id10038,7Gd4Fz2UNxQ,female,The-United-States-of-America,41.0
id10039,e93OOf47Qak,female,Canada,28.0
id10040,nmEj7IkWbD4,female,The-United-States-of-America,25.0
id10041,9THGEtI-rv8,female,The-United-States-of-America,29.0
id10043,lqPc-bhMaCs,female,The-United-States-of-America,9.0
id10044,znus6PIiKqA,female,The-United-States-of-America,31.0
id10046,sBae-iHV-ps,female,The-United-States-of-America,44.0
id10047,9T6zJ8nmjHI,female,The-United-States-of-America,35.0
id10048,CvGFrHmVDeA,female,The-United-States-of-America,47.0
id10050,j_Ojl9vuYdY,female,The-United-Kingdom-1,32.0
id10060,u7KTRzyv_yE,female,The-United-States-of-America,42.0
id10061,FiS_89JghYQ,female,The-United-States-of-America,31.0
id10068,vqs1ZvoJ4XY,female,The-United-States-of-America,26.0
id10072,M5lYNe7y2QY,female,The-United-States-of-America,24.0
id10073,thZMAxj3udc,female,The-United-Kingdom-1,47.0
id10074,K2QHfrmf56k,female,The-United-States-of-America,44.0
id10075,LMl5EyjpQgc,female,The-United-States-of-America,29.0
id10078,vWHa4EanOB4,female,The-United-States-of-America,81.0
id10079,J9WK4j7mZCA,female,The-United-States-of-America,64.0
id10081,1M4q6CQM5pA,female,The-United-States-of-America,46.0
id10086,Hd3T8LwTYMk,female,The-United-States-of-America,62.0
id10087,_2wZVvsQYFg,female,The-United-States-of-America,19.0
id10088,cuiG8oXZGJg,female,The-United-States-of-America,88.0
id10098,TKKUJDaDMB8,female,The-United-Kingdom-1,18.0
id10103,q2BoSBDt3qo,female,The-United-Kingdom-1,65.0
id10109,iDxM7uzjVrI,female,The-United-States-of-America,43.0
id10110,OlCug8S1nrU,female,The-United-States-of-America,27.0
id10111,3FIiSPMPF1Y,female,The-United-States-of-America,34.0
id10112,NzsjhG3xKCI,female,The-United-States-of-America,37.0
id10117,Rkq0LOe94GY,female,The-United-States-of-America,60.0
id10118,Zwlvrjkn6Ac,female,The-Republic-of-Ireland,37.0
id10119,3q4rl2iu8yY,female,The-United-States-of-America,27.0
id10121,yE91nD2j0bQ,female,The-United-States-of-America,43.0
id10123,QeRAaXF37a8,female,The-United-States-of-America,36.0
id10124,5W5ODrDdRns,female,The-United-States-of-America,22.0
id10125,K0ZFbs3I5Ro,female,The-United-States-of-America,20.0
id10126,pcRnA4g7gKc,female,Canada,52.0
id10127,HaA9mTYzZgs,female,The-United-States-of-America,53.0
id10128,Shkr1X56lqA,female,The-United-States-of-America,48.0
id10129,6a6VS3IjMC4,female,The-United-States-of-America,54.0
id10130,u1bfDNe07tM,female,The-United-States-of-America,28.0
id10132,wzoXu2iwk4E,female,The-United-States-of-America,34.0
id10133,DPBVfp0e1mI,female,The-United-States-of-America,64.0
id10134,l6yzoNp9MPI,female,Italy,33.0
id10135,LhTB2hidBqk,female,Canada,29.0
id10136,5V5-S_yF8kI,female,The-United-States-of-America,56.0
id10138,WHCT4SlmRn4,female,The-United-Kingdom-1,63.0
id10145,qZQZ_6Vv23s,female,The-United-Kingdom-1,40.0
id10147,Q3zL1cvyMfo,female,The-United-States-of-America,25.0
id10148,St7LYcFgis8,female,The-United-States-of-America,62.0
id10149,Ak3V7FwSK-M,female,The-United-States-of-America,58.0
id10152,SPJadCy6Irs,female,The-United-States-of-America,25.0
id10161,6cRnyUtIbJw,female,The-United-States-of-America,36.0
id10162,Wvsd1vi7rJw,female,The-United-States-of-America,33.0
id10164,6eMViDDEk5c,female,The-United-States-of-America,20.0
id10167,TQpK-Q7YPD8,female,The-United-States-of-America,68.0
id10168,AP5o1B1qPz8,female,Australia,41.0
id10169,kOMqsxjX_dQ,female,The-United-States-of-America,20.0
id10178,dzxjJoRMpVw,female,Chile,20.0
id10179,ZOFJhtebvuU,female,The-United-States-of-America,29.0
id10180,CakY8oeWcE0,female,The-United-States-of-America,55.0
id10181,HZtA-rr4tLI,female,The-United-States-of-America,18.0
id10188,DJk_5DLXnxQ,female,The-United-States-of-America,59.0
id10190,4LQvs_IAvRY,female,The-United-States-of-America,35.0
id10196,sXapU-vWaNE,female,The-United-States-of-America,27.0
id10225,cO4vPo58Hro,female,The-United-Kingdom-1,60.0
id10226,_UsN5Sbb0e0,female,The-United-States-of-America,74.0
id10228,v6A5T2Q7FYk,female,The-United-States-of-America,52.0
id10229,BSVcmcMyuqc,female,The-United-States-of-America,63.0
id10230,WxmrMgdkqOw,female,The-United-States-of-America,48.0
id10231,Cfz6KgPti3Y,female,The-United-States-of-America,85.0
id10234,4PzEhoOxJAU,female,The-United-States-of-America,56.0
id10239,vjh4tv5CleM,female,The-United-States-of-America,33.0
id10240,ELAZSAexofg,female,The-United-States-of-America,60.0
id10241,PYswSsBw8vI,female,Germany,35.0
id10252,tn7Roknj3EI,female,The-United-States-of-America,56.0
id10253,4kC7nIrvA3M,female,The-United-States-of-America,52.0
id10255,bXpavyiCu10,female,The-United-States-of-America,47.0
id10258,z7PnkmwoByo,female,Kingdom-of-the-Netherlands,28.0
id10259,Yz60HIfALyw,female,The-United-States-of-America,19.0
id10262,JVm6b7QviH8,female,The-United-States-of-America,43.0
id10263,uYF_CfoIdLs,female,The-United-States-of-America,26.0
